CPU Load: 57.07% | Memory Usage: 29.91% | CPU Temperature: 61.25 °C
Uptime: up 6 minutes | CPU Load: 41.55% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
Uptime: up 6 minutes | CPU Load: 38.38% | Memory Usage: 31.16% | CPU Temperature: 55.00 ° | Logsize:109316 MB
Uptime: up 6 minutes | CPU Load: 39.49% | Memory Usage: 30.95% | CPU Temperature: 57.77 °C
Uptime: up 6 minutes | CPU Load: 41.32% | Memory Usage: 30.79% | CPU Temperature: 57.77 °C
Uptime: up 6 minutes | CPU Load: 12.20% | Memory Usage: 31.10% | CPU Temperature: 53.88 °C
Uptime: up 6 minutes | CPU Load: 39.36% | Memory Usage: 31.10% | CPU Temperature: 54.44 °C
Uptime: up 6 minutes | CPU Load: 40.88% | Memory Usage: 31.05% | CPU Temperature: 55.00 °C
Uptime: up 6 minutes | CPU Load: 48.15% | Memory Usage: 31.10% | CPU Temperature: 55.00 °C
Uptime: up 6 minutes | CPU Load: 44.74% | Memory Usage: 31.05% | CPU Temperature: 56.66 °C
Uptime: up 6 minutes | CPU Load: 46.72% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 6 minutes | CPU Load: 48.82% | Memory Usage: 31.16% | CPU Temperature: 56.66 °C
Uptime: up 6 minutes | CPU Load: 43.32% | Memory Usage: 31.00% | CPU Temperature: 56.11 ° | Logsize: MB
Uptime: up 6 minutes | CPU Load: 52.27% | Memory Usage: 31.16% | CPU Temperature: 57.77 °C
Uptime: up 6 minutes | CPU Load: 57.94% | Memory Usage: 30.95% | CPU Temperature: 57.22 ° | Logsize: MB
Uptime: up 7 minutes | CPU Load: 44.01% | Memory Usage: 31.16% | CPU Temperature: 57.77 °C
Uptime: up 7 minutes | CPU Load: 50.42% | Memory Usage: 30.79% | CPU Temperature: 56.66 °C
Uptime: up 7 minutes | CPU Load: 50.25% | Memory Usage: 31.05% | CPU Temperature: 56.66 °C
Uptime: up 7 minutes | CPU Load: 42.47% | Memory Usage: 31.05% | CPU Temperature: 57.77 °C
Uptime: up 7 minutes | CPU Load: 38.66% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 7 minutes | CPU Load: 43.62% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 7 minutes | CPU Load: 37.52% | Memory Usage: 31.10% | CPU Temperature: 58.33 °C
Uptime: up 7 minutes | CPU Load: 34.62% | Memory Usage: 31.10% | CPU Temperature: 56.11 °C
Uptime: up 7 minutes | CPU Load: 40.61% | Memory Usage: 31.16% | CPU Temperature: 57.22 °C
Uptime: up 7 minutes | CPU Load: 17.68% | Memory Usage: 31.10% | CPU Temperature: 53.33 °C
Uptime: up 7 minutes | CPU Load: 37.52% | Memory Usage: 31.16% | CPU Temperature: 54.44 °C
Uptime: up 7 minutes | CPU Load: 40.44% | Memory Usage: 31.16% | CPU Temperature: 55.00 °C
Uptime: up 7 minutes | CPU Load: 46.04% | Memory Usage: 31.16% | CPU Temperature: 56.66 °C
Uptime: up 7 minutes | CPU Load: 46.95% | Memory Usage: 31.16% | CPU Temperature: 56.11 °C
Uptime: up 7 minutes | CPU Load: 46.70% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 7 minutes | CPU Load: 44.35% | Memory Usage: 31.16% | CPU Temperature: 57.22 °C
Uptime: up 7 minutes | CPU Load: 45.19% | Memory Usage: 31.10% | CPU Temperature: 57.77 °C
Uptime: up 7 minutes | CPU Load: 40.61% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 7 minutes | CPU Load: 50.26% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 7 minutes | CPU Load: 48.14% | Memory Usage: 31.16% | CPU Temperature: 56.11 °C
Uptime: up 7 minutes | CPU Load: 45.79% | Memory Usage: 31.26% | CPU Temperature: 55.55 ° | Logsize: MB
Uptime: up 7 minutes | CPU Load: 45.38% | Memory Usage: 31.05% | CPU Temperature: 57.22 °C
Uptime: up 7 minutes | CPU Load: 49.41% | Memory Usage: 31.26% | CPU Temperature: 55.00 ° | Logsize: MB
Uptime: up 7 minutes | CPU Load: 50.00% | Memory Usage: 31.05% | CPU Temperature: 57.77 °C
Uptime: up 7 minutes | CPU Load: 48.23% | Memory Usage: 31.26% | CPU Temperature: 57.22 ° | Logsize: MB
Uptime: up 7 minutes | CPU Load: 46.87% | Memory Usage: 31.05% | CPU Temperature: 57.77 °C
Uptime: up 7 minutes | CPU Load: 37.16% | Memory Usage: 31.21% | CPU Temperature: 57.22 ° | Logsize: MB
Uptime: up 7 minutes | CPU Load: 41.26% | Memory Usage: 31.05% | CPU Temperature: 56.66 °C
Uptime: up 7 minutes | CPU Load: 34.18% | Memory Usage: 31.26% | CPU Temperature: 55.55 ° | Logsize: MB
Uptime: up 7 minutes | CPU Load: 32.49% | Memory Usage: 30.90% | CPU Temperature: 55.55 °C
Uptime: up 7 minutes | CPU Load: 36.82% | Memory Usage: 31.16% | CPU Temperature: 58.33 °C
Uptime: up 7 minutes | CPU Load: 17.00% | Memory Usage: 31.16% | CPU Temperature: 54.44 °C
Uptime: up 7 minutes | CPU Load: 35.87% | Memory Usage: 31.16% | CPU Temperature: 54.44 °C
Uptime: up 8 minutes | CPU Load: 40.81% | Memory Usage: 31.21% | CPU Temperature: 55.55 °C
Uptime: up 8 minutes | CPU Load: 48.40% | Memory Usage: 31.31% | CPU Temperature: 56.66 °C
Uptime: up 8 minutes | CPU Load: 47.98% | Memory Usage: 31.16% | CPU Temperature: 57.77 °C
Uptime: up 8 minutes | CPU Load: 47.05% | Memory Usage: 31.16% | CPU Temperature: 56.11 °C
Uptime: up 8 minutes | CPU Load: 45.73% | Memory Usage: 31.16% | CPU Temperature: 57.22 °C
Uptime: up 8 minutes | CPU Load: 45.44% | Memory Usage: 31.16% | CPU Temperature: 57.77 °C
Uptime: up 8 minutes | CPU Load: 46.63% | Memory Usage: 31.16% | CPU Temperature: 57.22 °C
Uptime: up 8 minutes | CPU Load: 45.59% | Memory Usage: 31.21% | CPU Temperature: 56.66 °C
Uptime: up 8 minutes | CPU Load: 48.49% | Memory Usage: 31.16% | CPU Temperature: 56.11 °C
Uptime: up 8 minutes | CPU Load: 46.46% | Memory Usage: 31.26% | CPU Temperature: 56.11 °C
Uptime: up 8 minutes | CPU Load: 57.72% | Memory Usage: 31.10% | CPU Temperature: 57.77 ° | Logsize:114486 
Uptime: up 8 minutes | CPU Load: 45.53% | Memory Usage: 31.00% | CPU Temperature: 56.11 °C
Uptime: up 8 minutes | CPU Load: 44.61% | Memory Usage: 31.10% | CPU Temperature: 57.77 ° | Logsize:114687 
Uptime: up 8 minutes | CPU Load: 46.63% | Memory Usage: 31.00% | CPU Temperature: 56.66 °C
Uptime: up 8 minutes | CPU Load: 47.89% | Memory Usage: 31.05% | CPU Temperature: 56.66 ° | Logsize:114888 
Uptime: up 8 minutes | CPU Load: 40.03% | Memory Usage: 31.00% | CPU Temperature: 56.11 °C
Uptime: up 8 minutes | CPU Load: 42.66% | Memory Usage: 31.00% | CPU Temperature: 56.11 ° | Logsize:115089 
Uptime: up 8 minutes | CPU Load: 29.73% | Memory Usage: 31.05% | CPU Temperature: 56.66 °C
Uptime: up 8 minutes | CPU Load: 42.83% | Memory Usage: 31.05% | CPU Temperature: 55.55 ° | Logsize:115290 
Uptime: up 8 minutes | CPU Load: 31.70% | Memory Usage: 31.05% | CPU Temperature: 57.77 °C
Uptime: up 8 minutes | CPU Load: 33.11% | Memory Usage: 31.10% | CPU Temperature: 55.00 ° | Logsize:115491 
Uptime: up 8 minutes | CPU Load: 25.00% | Memory Usage: 31.05% | CPU Temperature: 55.00 °C
Uptime: up 8 minutes | CPU Load: 42.69% | Memory Usage: 30.90% | CPU Temperature: 55.55 °C
Uptime: up 8 minutes | CPU Load: 41.82% | Memory Usage: 30.90% | CPU Temperature: 56.11 °C
Uptime: up 8 minutes | CPU Load: 51.60% | Memory Usage: 30.95% | CPU Temperature: 55.55 °C
Uptime: up 8 minutes | CPU Load: 45.25% | Memory Usage: 30.90% | CPU Temperature: 57.22 °C
Uptime: up 8 minutes | CPU Load: 51.01% | Memory Usage: 30.90% | CPU Temperature: 56.66 °C
Uptime: up 8 minutes | CPU Load: 45.53% | Memory Usage: 30.90% | CPU Temperature: 56.66 °C
Uptime: up 8 minutes | CPU Load: 45.70% | Memory Usage: 30.90% | CPU Temperature: 57.77 °C
Uptime: up 8 minutes | CPU Load: 39.56% | Memory Usage: 30.90% | CPU Temperature: 55.00 °C
Uptime: up 8 minutes | CPU Load: 50.34% | Memory Usage: 30.90% | CPU Temperature: 56.66 °C
Uptime: up 8 minutes | CPU Load: 50.50% | Memory Usage: 30.90% | CPU Temperature: 56.66 °C
Uptime: up 8 minutes | CPU Load: 44.67% | Memory Usage: 30.90% | CPU Temperature: 57.77 °C
Uptime: up 9 minutes | CPU Load: 43.62% | Memory Usage: 30.84% | CPU Temperature: 57.77 °C
Uptime: up 9 minutes | CPU Load: 46.63% | Memory Usage: 30.90% | CPU Temperature: 56.66 °C
Uptime: up 9 minutes | CPU Load: 47.55% | Memory Usage: 30.90% | CPU Temperature: 57.22 °C
Uptime: up 9 minutes | CPU Load: 31.47% | Memory Usage: 30.90% | CPU Temperature: 55.55 °C
Uptime: up 9 minutes | CPU Load: 33.11% | Memory Usage: 30.95% | CPU Temperature: 55.55 °C
Uptime: up 9 minutes | CPU Load: 14.53% | Memory Usage: 30.90% | CPU Temperature: 53.33 °C
Uptime: up 9 minutes | CPU Load: 37.10% | Memory Usage: 31.10% | CPU Temperature: 54.44 °C
Uptime: up 9 minutes | CPU Load: 44.16% | Memory Usage: 31.05% | CPU Temperature: 55.55 °C
Uptime: up 9 minutes | CPU Load: 47.22% | Memory Usage: 31.05% | CPU Temperature: 56.11 °C
Uptime: up 9 minutes | CPU Load: 44.16% | Memory Usage: 31.10% | CPU Temperature: 56.11 °C
Uptime: up 9 minutes | CPU Load: 46.04% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 9 minutes | CPU Load: 46.06% | Memory Usage: 31.05% | CPU Temperature: 56.11 °C
Uptime: up 9 minutes | CPU Load: 47.73% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 9 minutes | CPU Load: 38.66% | Memory Usage: 31.05% | CPU Temperature: 56.66 °C
Uptime: up 9 minutes | CPU Load: 50.08% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 9 minutes | CPU Load: 47.81% | Memory Usage: 31.05% | CPU Temperature: 55.55 °C
Uptime: up 9 minutes | CPU Load: 45.04% | Memory Usage: 31.05% | CPU Temperature: 57.77 °C
Uptime: up 9 minutes | CPU Load: 44.84% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 9 minutes | CPU Load: 45.47% | Memory Usage: 31.05% | CPU Temperature: 57.22 °C
Uptime: up 9 minutes | CPU Load: 39.32% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 9 minutes | CPU Load: 30.35% | Memory Usage: 31.10% | CPU Temperature: 56.11 °C
Uptime: up 9 minutes | CPU Load: 34.45% | Memory Usage: 31.05% | CPU Temperature: 55.55 °C
Uptime: up 9 minutes | CPU Load: 20.74% | Memory Usage: 31.05% | CPU Temperature: 53.88 °C
Uptime: up 9 minutes | CPU Load: 36.87% | Memory Usage: 30.95% | CPU Temperature: 53.88 °C
Uptime: up 9 minutes | CPU Load: 45.18% | Memory Usage: 30.90% | CPU Temperature: 55.00 °C
Uptime: up 9 minutes | CPU Load: 44.61% | Memory Usage: 30.95% | CPU Temperature: 55.00 °C
Uptime: up 9 minutes | CPU Load: 48.57% | Memory Usage: 30.90% | CPU Temperature: 57.77 °C
Uptime: up 9 minutes | CPU Load: 45.69% | Memory Usage: 30.90% | CPU Temperature: 56.66 °C
Uptime: up 10 minutes | CPU Load: 47.98% | Memory Usage: 30.95% | CPU Temperature: 55.55 °C
Uptime: up 10 minutes | CPU Load: 46.19% | Memory Usage: 30.90% | CPU Temperature: 57.77 °C
Uptime: up 10 minutes | CPU Load: 42.76% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
Uptime: up 10 minutes | CPU Load: 49.32% | Memory Usage: 30.95% | CPU Temperature: 55.55 °C
Uptime: up 10 minutes | CPU Load: 52.01% | Memory Usage: 30.90% | CPU Temperature: 56.66 °C
Uptime: up 10 minutes | CPU Load: 44.37% | Memory Usage: 30.90% | CPU Temperature: 56.66 °C
Uptime: up 10 minutes | CPU Load: 47.31% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
Uptime: up 10 minutes | CPU Load: 46.88% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
Uptime: up 10 minutes | CPU Load: 39.80% | Memory Usage: 31.00% | CPU Temperature: 57.77 °C
Uptime: up 10 minutes | CPU Load: 32.32% | Memory Usage: 30.95% | CPU Temperature: 53.88 °C
Uptime: up 10 minutes | CPU Load: 32.38% | Memory Usage: 30.90% | CPU Temperature: 55.55 °C
Uptime: up 10 minutes | CPU Load: 16.64% | Memory Usage: 30.90% | CPU Temperature: 54.44 °C
Uptime: up 10 minutes | CPU Load: 34.68% | Memory Usage: 30.95% | CPU Temperature: 53.33 °C
Uptime: up 10 minutes | CPU Load: 51.18% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
Uptime: up 10 minutes | CPU Load: 44.07% | Memory Usage: 30.95% | CPU Temperature: 55.00 °C
Uptime: up 10 minutes | CPU Load: 53.73% | Memory Usage: 31.05% | CPU Temperature: 56.66 °C
Uptime: up 10 minutes | CPU Load: 45.62% | Memory Usage: 30.95% | CPU Temperature: 58.33 °C
Uptime: up 10 minutes | CPU Load: 47.55% | Memory Usage: 30.95% | CPU Temperature: 56.66 °C
Uptime: up 10 minutes | CPU Load: 43.43% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
Uptime: up 10 minutes | CPU Load: 45.19% | Memory Usage: 30.90% | CPU Temperature: 57.22 °C
Uptime: up 10 minutes | CPU Load: 47.80% | Memory Usage: 30.90% | CPU Temperature: 57.77 °C
Uptime: up 10 minutes | CPU Load: 50.42% | Memory Usage: 30.90% | CPU Temperature: 57.77 °C
Uptime: up 10 minutes | CPU Load: 46.22% | Memory Usage: 30.90% | CPU Temperature: 55.55 °C
Uptime: up 10 minutes | CPU Load: 47.55% | Memory Usage: 30.95% | CPU Temperature: 56.66 °C
Uptime: up 10 minutes | CPU Load: 43.27% | Memory Usage: 30.95% | CPU Temperature: 55.55 °C
Uptime: up 10 minutes | CPU Load: 43.34% | Memory Usage: 30.95% | CPU Temperature: 56.66 °C
Uptime: up 10 minutes | CPU Load: 30.52% | Memory Usage: 30.90% | CPU Temperature: 55.55 °C
Uptime: up 10 minutes | CPU Load: 33.05% | Memory Usage: 30.90% | CPU Temperature: 54.44 °C
Uptime: up 11 minutes | CPU Load: 20.71% | Memory Usage: 30.90% | CPU Temperature: 54.44 °C
Uptime: up 11 minutes | CPU Load: 43.99% | Memory Usage: 31.42% | CPU Temperature: 55.55 °C
Uptime: up 11 minutes | CPU Load: 50.76% | Memory Usage: 31.10% | CPU Temperature: 56.11 °C
Uptime: up 11 minutes | CPU Load: 43.84% | Memory Usage: 31.16% | CPU Temperature: 56.66 °C
Uptime: up 11 minutes | CPU Load: 47.55% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 11 minutes | CPU Load: 46.71% | Memory Usage: 31.10% | CPU Temperature: 56.11 °C
Uptime: up 11 minutes | CPU Load: 47.72% | Memory Usage: 31.05% | CPU Temperature: 55.55 °C
Uptime: up 11 minutes | CPU Load: 41.86% | Memory Usage: 31.05% | CPU Temperature: 56.11 °C
Uptime: up 11 minutes | CPU Load: 42.33% | Memory Usage: 31.16% | CPU Temperature: 57.77 °C
Uptime: up 11 minutes | CPU Load: 47.80% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 11 minutes | CPU Load: 52.27% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 11 minutes | CPU Load: 44.58% | Memory Usage: 31.10% | CPU Temperature: 56.11 °C
Uptime: up 11 minutes | CPU Load: 48.65% | Memory Usage: 31.05% | CPU Temperature: 56.66 °C
Uptime: up 11 minutes | CPU Load: 43.17% | Memory Usage: 31.10% | CPU Temperature: 55.55 °C
Uptime: up 11 minutes | CPU Load: 37.88% | Memory Usage: 31.16% | CPU Temperature: 56.66 °C
Uptime: up 11 minutes | CPU Load: 38.71% | Memory Usage: 31.10% | CPU Temperature: 55.00 °C
Uptime: up 11 minutes | CPU Load: 30.07% | Memory Usage: 31.10% | CPU Temperature: 54.44 °C
Uptime: up 11 minutes | CPU Load: 23.45% | Memory Usage: 31.05% | CPU Temperature: 53.88 °C
Uptime: up 11 minutes | CPU Load: 33.56% | Memory Usage: 30.90% | CPU Temperature: 55.00 °C
Uptime: up 11 minutes | CPU Load: 50.59% | Memory Usage: 30.90% | CPU Temperature: 56.11 °C
Uptime: up 11 minutes | CPU Load: 45.16% | Memory Usage: 30.90% | CPU Temperature: 56.11 °C
Uptime: up 11 minutes | CPU Load: 50.17% | Memory Usage: 30.90% | CPU Temperature: 55.55 °C
Uptime: up 11 minutes | CPU Load: 46.72% | Memory Usage: 30.95% | CPU Temperature: 56.66 °C
Uptime: up 11 minutes | CPU Load: 43.68% | Memory Usage: 30.90% | CPU Temperature: 57.22 °C
Uptime: up 11 minutes | CPU Load: 37.04% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
Uptime: up 11 minutes | CPU Load: 42.76% | Memory Usage: 30.95% | CPU Temperature: 55.55 °C
Uptime: up 11 minutes | CPU Load: 48.57% | Memory Usage: 30.90% | CPU Temperature: 57.77 °C
Uptime: up 12 minutes | CPU Load: 49.41% | Memory Usage: 30.90% | CPU Temperature: 58.33 °C
Uptime: up 12 minutes | CPU Load: 43.82% | Memory Usage: 30.90% | CPU Temperature: 57.22 °C
Uptime: up 12 minutes | CPU Load: 51.44% | Memory Usage: 30.90% | CPU Temperature: 56.11 °C
Uptime: up 12 minutes | CPU Load: 44.48% | Memory Usage: 30.90% | CPU Temperature: 57.22 °C
Uptime: up 12 minutes | CPU Load: 40.07% | Memory Usage: 30.84% | CPU Temperature: 56.66 °C
Uptime: up 12 minutes | CPU Load: 31.14% | Memory Usage: 30.90% | CPU Temperature: 55.00 °C
Uptime: up 12 minutes | CPU Load: 33.33% | Memory Usage: 30.90% | CPU Temperature: 54.44 °C
Uptime: up 12 minutes | CPU Load: 22.60% | Memory Usage: 30.90% | CPU Temperature: 54.44 °C
Uptime: up 12 minutes | CPU Load: 31.30% | Memory Usage: 30.64% | CPU Temperature: 54.44 °C
Uptime: up 12 minutes | CPU Load: 50.93% | Memory Usage: 30.90% | CPU Temperature: 56.66 °C
Uptime: up 12 minutes | CPU Load: 46.89% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
Uptime: up 12 minutes | CPU Load: 49.58% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
Uptime: up 12 minutes | CPU Load: 45.79% | Memory Usage: 30.90% | CPU Temperature: 56.66 °C
Uptime: up 12 minutes | CPU Load: 46.04% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
Uptime: up 12 minutes | CPU Load: 36.61% | Memory Usage: 30.95% | CPU Temperature: 56.66 °C
Uptime: up 12 minutes | CPU Load: 41.08% | Memory Usage: 30.95% | CPU Temperature: 56.66 °C
Uptime: up 12 minutes | CPU Load: 46.53% | Memory Usage: 30.90% | CPU Temperature: 58.33 °C
Uptime: up 12 minutes | CPU Load: 51.43% | Memory Usage: 30.95% | CPU Temperature: 57.77 °C
Uptime: up 12 minutes | CPU Load: 45.04% | Memory Usage: 30.90% | CPU Temperature: 56.11 °C
Uptime: up 12 minutes | CPU Load: 50.00% | Memory Usage: 30.90% | CPU Temperature: 57.77 °C
Uptime: up 12 minutes | CPU Load: 45.69% | Memory Usage: 30.90% | CPU Temperature: 57.22 °C
Uptime: up 12 minutes | CPU Load: 37.37% | Memory Usage: 30.90% | CPU Temperature: 56.11 °C
Uptime: up 12 minutes | CPU Load: 29.44% | Memory Usage: 30.90% | CPU Temperature: 55.55 °C
Uptime: up 12 minutes | CPU Load: 32.43% | Memory Usage: 30.90% | CPU Temperature: 56.11 °C
Uptime: up 12 minutes | CPU Load: 22.30% | Memory Usage: 30.90% | CPU Temperature: 53.33 °C
Uptime: up 12 minutes | CPU Load: 30.99% | Memory Usage: 30.64% | CPU Temperature: 55.55 °C
Uptime: up 12 minutes | CPU Load: 45.10% | Memory Usage: 30.95% | CPU Temperature: 56.66 °C
Uptime: up 12 minutes | CPU Load: 45.71% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
Uptime: up 13 minutes | CPU Load: 46.13% | Memory Usage: 30.95% | CPU Temperature: 55.00 °C
Uptime: up 13 minutes | CPU Load: 46.46% | Memory Usage: 31.05% | CPU Temperature: 57.22 °C
Uptime: up 13 minutes | CPU Load: 46.96% | Memory Usage: 30.84% | CPU Temperature: 57.22 °C
Uptime: up 13 minutes | CPU Load: 37.98% | Memory Usage: 30.95% | CPU Temperature: 55.00 °C
Uptime: up 13 minutes | CPU Load: 47.31% | Memory Usage: 30.95% | CPU Temperature: 54.44 °C
Uptime: up 13 minutes | CPU Load: 47.55% | Memory Usage: 30.90% | CPU Temperature: 57.22 °C
Uptime: up 13 minutes | CPU Load: 48.98% | Memory Usage: 30.90% | CPU Temperature: 58.33 °C
Uptime: up 13 minutes | CPU Load: 45.88% | Memory Usage: 30.90% | CPU Temperature: 55.55 °C
Uptime: up 13 minutes | CPU Load: 47.97% | Memory Usage: 30.90% | CPU Temperature: 55.00 °C
Uptime: up 13 minutes | CPU Load: 45.01% | Memory Usage: 30.84% | CPU Temperature: 57.22 °C
Uptime: up 13 minutes | CPU Load: 38.55% | Memory Usage: 30.95% | CPU Temperature: 55.55 °C
Uptime: up 13 minutes | CPU Load: 31.86% | Memory Usage: 30.90% | CPU Temperature: 55.00 °C
Uptime: up 13 minutes | CPU Load: 32.49% | Memory Usage: 30.90% | CPU Temperature: 53.88 °C
Uptime: up 13 minutes | CPU Load: 22.71% | Memory Usage: 30.90% | CPU Temperature: 54.44 °C
Uptime: up 13 minutes | CPU Load: 27.99% | Memory Usage: 29.91% | CPU Temperature: 55.00 °C
Uptime: up 13 minutes | CPU Load: 54.17% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 13 minutes | CPU Load: 43.68% | Memory Usage: 30.95% | CPU Temperature: 56.66 °C
Uptime: up 13 minutes | CPU Load: 49.92% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
Uptime: up 13 minutes | CPU Load: 41.86% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
Uptime: up 13 minutes | CPU Load: 46.48% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
Uptime: up 13 minutes | CPU Load: 37.94% | Memory Usage: 30.95% | CPU Temperature: 53.88 °C
Uptime: up 13 minutes | CPU Load: 47.38% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
Uptime: up 13 minutes | CPU Load: 45.96% | Memory Usage: 31.00% | CPU Temperature: 56.66 °C
Uptime: up 13 minutes | CPU Load: 50.25% | Memory Usage: 30.95% | CPU Temperature: 58.33 °C
Uptime: up 13 minutes | CPU Load: 41.05% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
Uptime: up 13 minutes | CPU Load: 48.23% | Memory Usage: 30.95% | CPU Temperature: 55.55 °C
Uptime: up 13 minutes | CPU Load: 42.13% | Memory Usage: 30.90% | CPU Temperature: 57.22 °C
Uptime: up 14 minutes | CPU Load: 38.38% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
Uptime: up 14 minutes | CPU Load: 30.92% | Memory Usage: 30.95% | CPU Temperature: 55.55 °C
Uptime: up 14 minutes | CPU Load: 38.95% | Memory Usage: 30.95% | CPU Temperature: 55.55 °C
Uptime: up 14 minutes | CPU Load: 22.05% | Memory Usage: 30.95% | CPU Temperature: 53.88 °C
Uptime: up 14 minutes | CPU Load: 29.01% | Memory Usage: 30.95% | CPU Temperature: 57.22 °C
Uptime: up 14 minutes | CPU Load: 44.43% | Memory Usage: 31.10% | CPU Temperature: 57.77 °C
Uptime: up 14 minutes | CPU Load: 43.92% | Memory Usage: 31.16% | CPU Temperature: 56.66 °C
Uptime: up 14 minutes | CPU Load: 48.07% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 14 minutes | CPU Load: 48.05% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 14 minutes | CPU Load: 49.50% | Memory Usage: 31.10% | CPU Temperature: 55.55 °C
Uptime: up 14 minutes | CPU Load: 37.31% | Memory Usage: 31.16% | CPU Temperature: 56.11 °C
Uptime: up 14 minutes | CPU Load: 46.48% | Memory Usage: 31.05% | CPU Temperature: 56.11 °C
Uptime: up 14 minutes | CPU Load: 49.24% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 14 minutes | CPU Load: 47.81% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 14 minutes | CPU Load: 46.95% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 14 minutes | CPU Load: 54.77% | Memory Usage: 31.10% | CPU Temperature: 57.22 °C
Uptime: up 14 minutes | CPU Load: 47.72% | Memory Usage: 31.10% | CPU Temperature: 56.66 °C
Uptime: up 14 minutes | CPU Load: 45.01% | Memory Usage: 31.16% | CPU Temperature: 55.00 °C
Uptime: up 14 minutes | CPU Load: 32.94% | Memory Usage: 31.10% | CPU Temperature: 56.11 °C
Uptime: up 14 minutes | CPU Load: 34.12% | Memory Usage: 31.10% | CPU Temperature: 55.55 °C
Uptime: up 14 minutes | CPU Load: 24.37% | Memory Usage: 31.16% | CPU Temperature: 55.00 °C
Uptime: up 14 minutes | CPU Load: 27.80% | Memory Usage: 30.17% | CPU Temperature: 55.00 °C
Uptime: up 14 minutes | CPU Load: 47.03% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
Uptime: up 14 minutes | CPU Load: 44.59% | Memory Usage: 30.95% | CPU Temperature: 55.55 °C
Uptime: up 14 minutes | CPU Load: 49.07% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
Uptime: up 14 minutes | CPU Load: 46.96% | Memory Usage: 31.00% | CPU Temperature: 55.55 °C
Uptime: up 14 minutes | CPU Load: 44.41% | Memory Usage: 30.95% | CPU Temperature: 56.11 °C
Uptime: up 14 minutes | CPU Load: 39.09% | Memory Usage: 30.95% | CPU Temperature: 56.66 °C
Uptime: up 15 minutes | CPU Load: 47.23% | Memory Usage: 30.95% | CPU Temperature: 56.66 °C
Uptime: up 15 minutes | CPU Load: 50.08% | Memory Usage: 30.95% | CPU Temperature: 57.77 °C
Uptime: up 15 minutes | CPU Load: 39.19% | Memory Usage: 30.95% | CPU Temperature: 58.33 °C
Uptime: up 15 minutes | CPU Load: 48.15% | Memory Usage: 30.95% | CPU Temperature: 56.66 °C
Uptime: up 15 minutes | CPU Load: 52.28% | Memory Usage: 31.00% | CPU Temperature: 56.66 °C
Uptime: up 15 minutes | CPU Load: 41.29% | Memory Usage: 31.00% | CPU Temperature: 56.66 °C
Uptime: up 15 minutes | CPU Load: 43.43% | Memory Usage: 30.95% | CPU Temperature: 57.77 °C
Uptime: up 15 minutes | CPU Load: 31.30% | Memory Usage: 30.90% | CPU Temperature: 55.00 °C
Uptime: up 15 minutes | CPU Load: 29.29% | Memory Usage: 30.95% | CPU Temperature: 55.00 °C
Uptime: up 15 minutes | CPU Load: 25.47% | Memory Usage: 30.95% | CPU Temperature: 55.00 °C
